iter	Passed	Remaining
0	12	5994
1	22	5665
2	30	5101
3	39	4951
4	47	4744
5	56	4623
6	64	4527
7	72	4478
8	80	4403
9	88	4355
10	97	4340
11	105	4279
12	113	4254
13	121	4206
14	129	4187
15	138	4177
16	146	4166
17	155	4162
18	163	4151
19	172	4137
20	180	4121
21	189	4117
22	197	4098
23	206	4089
24	214	4081
25	223	4072
26	231	4048
27	239	4029
28	245	3994
29	254	3990
30	261	3959
31	269	3939
32	276	3913
33	283	3886
34	290	3865
35	299	3860
36	307	3853
37	315	3839
38	325	3842
39	334	3845
40	342	3835
41	350	3824
42	358	3807
43	366	3795
44	373	3781
45	382	3776
46	390	3763
47	398	3756
48	406	3737
49	413	3721
50	421	3707
51	429	3696
52	437	3692
53	446	3684
54	453	3668
55	460	3654
56	468	3643
57	475	3625
58	483	3613
59	491	3602
60	498	3588
61	505	3569
62	513	3558
63	521	3549
64	528	3536
65	536	3528
66	543	3515
67	552	3511
68	560	3498
69	568	3489
70	576	3480
71	584	3471
72	591	3459
73	598	3448
74	606	3437
75	615	3433
76	624	3432
77	632	3424
78	640	3414
79	649	3411
80	657	3402
81	666	3400
82	675	3393
83	684	3389
84	693	3385
85	702	3380
86	710	3373
87	719	3366
88	727	3360
89	736	3355
90	744	3346
91	752	3338
92	761	3332
93	769	3323
94	779	3321
95	787	3315
96	796	3308
97	803	3297
98	810	3284
99	818	3275
100	827	3270
101	836	3264
102	845	3257
103	852	3247
104	860	3238
105	869	3231
106	877	3223
107	886	3216
108	895	3211
109	903	3202
110	911	3193
111	919	3185
112	927	3176
113	936	3170
114	945	3165
115	953	3156
116	961	3148
117	969	3138
118	978	3132
119	986	3122
120	995	3118
121	1004	3112
122	1012	3104
123	1019	3091
124	1029	3087
125	1038	3081
126	1048	3078
127	1056	3069
128	1064	3060
129	1072	3053
130	1081	3045
131	1089	3038
132	1098	3030
133	1105	3020
134	1114	3012
135	1122	3004
136	1130	2995
137	1139	2989
138	1147	2979
139	1155	2970
140	1163	2963
141	1171	2954
142	1179	2944
143	1187	2934
144	1195	2926
145	1203	2918
146	1212	2911
147	1221	2905
148	1230	2899
149	1240	2894
150	1249	2887
151	1258	2881
152	1267	2874
153	1277	2869
154	1286	2863
155	1295	2857
156	1304	2849
157	1314	2844
158	1323	2838
159	1332	2832
160	1341	2825
161	1349	2816
162	1359	2810
163	1368	2804
164	1377	2796
165	1386	2789
