iter	Logloss
0	0.530419616
1	0.4259548282
2	0.3568315703
3	0.3060631335
4	0.2730396545
5	0.2475819035
6	0.2299329789
7	0.21660402
8	0.2061101118
9	0.199419473
10	0.1931715778
11	0.188688918
12	0.1852933007
13	0.1802002094
14	0.1763968071
15	0.1739188373
16	0.1717755007
17	0.1700452304
18	0.1682899939
19	0.1668874162
20	0.1654780292
21	0.1639098728
22	0.1628942415
23	0.1618767693
24	0.1611926954
25	0.1606380297
26	0.1597998537
27	0.1591822483
28	0.1581840474
29	0.1576479957
30	0.1568435487
31	0.1562846007
32	0.1558722067
33	0.1552985055
34	0.1548707321
35	0.1545663778
36	0.1542415334
37	0.1538787766
38	0.1536077935
39	0.1531594174
40	0.1529064856
41	0.1526784117
42	0.1524531345
43	0.1522918842
44	0.1520445525
45	0.1518070733
46	0.1516057972
47	0.1514001981
48	0.1512222819
49	0.1510013927
50	0.1508113547
51	0.1506959499
52	0.1503987614
53	0.1502517735
54	0.1501141571
55	0.1499597906
56	0.1498466429
57	0.1496052244
58	0.1494906818
59	0.1493625749
60	0.1492634294
61	0.1490995669
62	0.1489750131
63	0.148860747
64	0.1486599806
65	0.1485522568
66	0.1484253483
67	0.148271764
68	0.1481417146
69	0.1480393467
70	0.1479317462
71	0.1478073565
72	0.1476683545
73	0.1475800526
74	0.1474813327
75	0.1473999349
76	0.1472906412
77	0.1471209116
78	0.1469973081
79	0.1468911608
80	0.146781268
81	0.1466770403
82	0.146602754
83	0.1464945231
84	0.1464166743
85	0.1463207172
86	0.1462251355
87	0.1461504046
88	0.1460620335
89	0.1459314255
90	0.1458269782
91	0.1457413332
92	0.1456633611
93	0.1456094835
94	0.1455250532
95	0.1454477127
96	0.1453391674
97	0.1452370408
98	0.1451284982
99	0.1450439255
100	0.1449891885
101	0.1449042661
102	0.1448158015
103	0.1447184304
104	0.1446362111
105	0.1445562231
106	0.1444889725
107	0.1444171615
108	0.1443517166
109	0.1442980329
110	0.1442176423
111	0.1441373507
112	0.1440754357
113	0.1439921522
114	0.1438690842
115	0.1437786091
116	0.1437150932
117	0.1436326963
118	0.1435794708
119	0.1434915078
120	0.1434379963
121	0.1433372891
122	0.1432590139
123	0.1431618998
124	0.1430632585
125	0.1429981219
126	0.1429641801
127	0.1428845683
128	0.1428182225
129	0.1427606143
130	0.1427447503
131	0.1426378879
132	0.1425702163
133	0.1425650826
134	0.1424965448
135	0.142419363
136	0.1423632236
137	0.1423228839
138	0.1422259216
139	0.1421498676
140	0.1420747232
141	0.1420127398
142	0.1419458003
143	0.1418542557
144	0.1418060914
145	0.1417323413
146	0.1416885841
147	0.1416184419
148	0.1415618376
149	0.1414667806
150	0.1413802436
151	0.1413112327
152	0.1412230243
153	0.1411737525
154	0.1411437758
155	0.141062216
156	0.1409906761
157	0.1409407489
158	0.1408687949
159	0.1407864116
160	0.1407243516
161	0.1406232872
162	0.1405464124
163	0.140477701
164	0.1403970156
165	0.1403662581
166	0.1402900638
167	0.1402185714
168	0.1401330017
169	0.1400854128
170	0.1400362332
171	0.1399797387
172	0.1399631534
173	0.1399110721
174	0.1398356322
175	0.1397968535
176	0.1397677824
177	0.1396882268
178	0.1395876687
179	0.1395246157
180	0.1394608612
181	0.1394052295
182	0.1393466135
183	0.1392844044
184	0.1392420211
185	0.1391536886
186	0.1390676892
187	0.1389871047
188	0.1389000973
189	0.1388601128
190	0.1387830245
191	0.1387357251
192	0.1386703574
193	0.1385981852
194	0.1385216886
195	0.1384535609
196	0.1384081125
197	0.1383296645
198	0.1382812
199	0.138191499
200	0.1381767784
201	0.1381253823
202	0.1380837379
203	0.138046329
204	0.138011664
205	0.1379459472
206	0.1378470992
207	0.1378438064
208	0.1377860058
209	0.1376942287
210	0.1375943749
211	0.1375296843
212	0.13747414
213	0.1374114578
214	0.1373394544
215	0.1372572506
216	0.1371932745
217	0.1371619923
218	0.1371007254
219	0.1370334768
220	0.1369868131
221	0.1369175765
222	0.1368473517
223	0.1368300642
224	0.1368020626
225	0.1367595255
226	0.136739373
227	0.1366573631
228	0.1366029772
229	0.1365508701
230	0.1365252144
231	0.1364805144
232	0.1364214652
233	0.1363727221
234	0.1363527593
235	0.1362959286
236	0.1362428231
237	0.1361887179
238	0.1361428629
239	0.1360720809
240	0.1360399305
241	0.1359839124
242	0.1359481283
243	0.1358893773
244	0.1358264816
245	0.1357620418
246	0.1356955842
247	0.1356361907
248	0.1356095468
249	0.1355366981
250	0.135489899
251	0.1354379789
252	0.1353910652
253	0.1353330375
254	0.1352923176
255	0.1352145792
256	0.1351826145
257	0.1351179904
258	0.135066557
259	0.1350528403
260	0.1350271812
261	0.1349702122
262	0.1348960256
263	0.1348284313
264	0.1347751007
265	0.1347537613
266	0.1346646758
267	0.1345901347
268	0.1345501231
269	0.1344693373
270	0.1343862639
271	0.1343343975
272	0.1342468024
273	0.1341975361
274	0.1341570242
275	0.1341058186
276	0.1340483169
277	0.1340034948
278	0.1339586505
279	0.1338830377
280	0.1338324957
281	0.1337696061
282	0.1336939696
283	0.1336287727
284	0.1335782829
285	0.1335392839
286	0.1334534789
287	0.1333742921
288	0.1333234227
289	0.1332856058
290	0.1332506642
291	0.1332073469
292	0.133143444
293	0.1331249853
294	0.1330579176
295	0.1329904365
296	0.1329424552
297	0.1328838961
298	0.1328135506
299	0.1327426852
300	0.1326881096
301	0.1326402245
302	0.1325786187
303	0.1325150539
304	0.1324815703
305	0.1324211431
306	0.1323539284
307	0.132302697
308	0.1322461781
309	0.1321891461
310	0.132130446
311	0.1320560112
312	0.1319993093
313	0.1319280318
314	0.1318925459
315	0.1318419585
316	0.1317753931
317	0.1317387563
318	0.1316838383
319	0.1316170648
320	0.1315808998
321	0.1315714322
322	0.1315339583
323	0.1314406453
324	0.1314081254
325	0.13136066
326	0.1313154848
327	0.1312515724
328	0.1311992226
329	0.1311445168
330	0.1310996582
331	0.1310410971
332	0.1310105978
333	0.1309613449
334	0.1309381775
335	0.1309050443
336	0.1308393573
337	0.1308101005
338	0.1307700028
339	0.1307141061
340	0.1306533407
341	0.1306080334
342	0.1305858074
343	0.1305260662
344	0.130480016
345	0.1304249048
346	0.1303700181
347	0.1303231999
348	0.1302644198
349	0.1302181263
350	0.130180081
351	0.1301493025
352	0.1301086557
353	0.130046938
354	0.1300096851
355	0.1299742188
356	0.1299250344
357	0.1298809275
358	0.1298590723
359	0.1298174868
360	0.1297727455
361	0.1297177109
362	0.1296666212
363	0.129617323
364	0.1295678885
365	0.1295247861
366	0.1294718853
367	0.1294393478
368	0.1293729167
369	0.1293211383
370	0.1292838522
371	0.129274592
372	0.1292326249
373	0.1291834723
374	0.1291174973
375	0.1290744451
376	0.1290188751
377	0.1289685289
378	0.1289236276
379	0.128879781
380	0.1288249057
381	0.1287510566
382	0.1286930465
383	0.1286263144
384	0.1285901114
385	0.1285553548
386	0.1285203806
387	0.1285136175
388	0.1284723356
389	0.1284657826
390	0.1284269599
391	0.1283904356
392	0.1283190022
393	0.1282714039
394	0.1282517407
395	0.128222351
396	0.1281664868
397	0.1281188892
398	0.1280720615
399	0.1280278319
400	0.127973015
401	0.1279120849
402	0.1278641287
403	0.1277921361
404	0.1277454359
405	0.1276977698
406	0.1276634111
407	0.1276352421
408	0.1275751538
409	0.1275363555
410	0.1274642477
411	0.1274189607
412	0.1273692754
413	0.1273004021
414	0.1272600441
415	0.127214406
416	0.1271676014
417	0.1271276549
418	0.1270879449
419	0.1270492685
420	0.1270176231
421	0.1269873976
422	0.1269573918
423	0.1268995444
424	0.1268350734
425	0.1267893194
426	0.126737129
427	0.1266885241
428	0.1266589121
429	0.1265778213
430	0.1265364676
431	0.1264759761
432	0.1264139838
433	0.1263730151
434	0.1263512372
435	0.1263182368
436	0.1262836843
437	0.1262420886
438	0.1261873564
439	0.1261270553
440	0.1260966855
441	0.1260545008
442	0.1260304149
443	0.1259763592
444	0.1259178895
445	0.1258372427
446	0.1257883633
447	0.1257395524
448	0.125706468
449	0.1256548753
450	0.1256077745
451	0.1255657668
452	0.125501855
453	0.1254883816
454	0.125426386
455	0.1253778509
456	0.1253184723
457	0.1252610634
458	0.1252101222
459	0.1251586821
460	0.1251136648
461	0.1250623311
462	0.1250232684
463	0.1249920425
464	0.1249443826
465	0.1249038145
466	0.1248451686
467	0.1248123248
468	0.1247733705
469	0.1247272966
470	0.1247048781
471	0.124672439
472	0.1246119413
473	0.1245652126
474	0.1245389225
475	0.1245080667
476	0.1244759292
477	0.1244131988
478	0.1243669724
479	0.1243496233
480	0.1243159356
481	0.1242663493
482	0.1242663215
483	0.124207071
484	0.1241673129
485	0.1241143199
486	0.1241141823
487	0.124035558
488	0.1239927003
489	0.1239891961
490	0.1239333631
491	0.1238931047
492	0.1238363791
493	0.1237930618
494	0.1237750674
495	0.1237283116
496	0.1236684327
497	0.123635023
498	0.1235987989
499	0.1235560144
