iter	Passed	Remaining
0	16	7995
1	30	7678
2	43	7218
3	53	6630
4	63	6268
5	72	5994
6	82	5819
7	91	5625
8	100	5474
9	110	5397
10	119	5318
11	127	5192
12	138	5180
13	146	5100
14	157	5078
15	165	5009
16	175	4973
17	184	4938
18	194	4931
19	204	4914
20	214	4896
21	223	4860
22	232	4814
23	241	4793
24	250	4759
25	259	4722
26	267	4687
27	276	4661
28	286	4649
29	295	4623
30	304	4607
31	315	4611
32	323	4577
33	331	4549
34	340	4525
35	349	4510
36	358	4485
37	369	4487
38	377	4461
39	387	4456
40	396	4440
41	406	4434
42	415	4417
43	426	4417
44	435	4403
45	444	4387
46	454	4379
47	464	4369
48	472	4353
49	481	4336
50	491	4326
51	500	4316
52	509	4300
53	519	4287
54	528	4279
55	538	4266
56	546	4250
57	555	4229
58	563	4212
59	572	4199
60	582	4189
61	591	4179
62	601	4170
63	611	4165
64	620	4149
65	630	4149
66	640	4142
67	649	4129
68	659	4116
69	670	4116
70	680	4112
71	690	4102
72	699	4093
73	710	4091
74	720	4081
75	729	4069
76	738	4056
77	748	4047
78	758	4041
79	767	4029
80	776	4016
81	786	4008
82	795	3995
83	804	3983
84	813	3971
85	821	3956
86	830	3944
87	839	3931
88	849	3920
89	858	3910
90	868	3904
91	879	3898
92	888	3887
93	898	3880
94	908	3872
95	918	3865
96	929	3863
97	940	3858
98	951	3854
99	962	3849
100	971	3839
101	981	3831
102	993	3829
103	1004	3823
104	1015	3818
105	1024	3809
106	1035	3801
107	1044	3792
108	1055	3784
109	1065	3776
110	1074	3767
111	1084	3757
112	1094	3748
113	1104	3741
114	1114	3732
115	1125	3726
116	1134	3713
117	1144	3705
118	1153	3692
119	1162	3679
120	1171	3670
121	1180	3656
122	1190	3648
123	1199	3638
124	1209	3627
125	1219	3619
126	1229	3610
127	1240	3603
128	1249	3594
129	1260	3586
130	1269	3576
131	1280	3569
132	1291	3563
133	1301	3555
134	1311	3546
135	1322	3540
136	1333	3532
137	1344	3526
138	1355	3520
139	1366	3512
140	1376	3504
141	1387	3498
142	1397	3489
143	1409	3483
144	1418	3471
145	1428	3463
146	1437	3452
147	1448	3444
148	1459	3437
149	1470	3431
150	1481	3425
151	1492	3416
152	1503	3408
153	1514	3401
154	1524	3394
155	1535	3385
156	1545	3377
157	1557	3370
158	1568	3364
159	1579	3357
160	1591	3352
161	1603	3345
162	1614	3338
163	1626	3332
164	1638	3325
165	1649	3319
166	1661	3312
167	1673	3306
168	1684	3300
169	1697	3294
170	1709	3288
171	1722	3283
172	1733	3275
173	1744	3268
174	1755	3260
175	1765	3250
176	1776	3241
177	1786	3232
178	1797	3223
179	1808	3215
180	1819	3206
181	1829	3196
182	1839	3186
